Nickname,Name,Emotion,Dont' Start now,Hot Stuff,Machu Picchu,Chica Ideal,Dar es Dar,Free,Hotel California,In the End,Set Fire tot he Rain,La Promesa,La Flaca,Las Rosas,Wish you were Here,Chop Suey!,Last Resort,Jamming,Felicidad,Olvidala,La invitación,La carretera,El niagara en Bicicleta,Enter Sandman,The trooper,Despacito,Taki Taki,Fly me to the moon,Summertime,Lloraras,Valio la Pena
jack123,Jack max,neutral,4,4,1,1,4,4,3,3,3,2,4,1,1,3,3,4,5,1,1,2,2,4,4,1,1,4,4,3,3
vale111,Valeria zhu,neutral,4,5,3,4,4,5,4,2,4,4,5,1,2,2,2,5,4,3,4,5,5,2,2,4,5,3,3,2,1
carlos555,Carlos Frances,neutral,3,1,5,5,1,1,2,2,4,1,5,3,2,1,1,2,2,5,5,5,4,1,1,5,4,2,2,1,1
ariza444,Noel Ariza,neutral,2,2,2,4,5,3,5,3,2,4,1,2,4,5,5,2,1,1,1,1,1,2,2,1,1,2,1,4,4
pareja333,Maria pareja,neutral,1,1,2,2,1,1,1,1,1,1,2,4,1,4,4,1,1,2,3,2,2,3,3,1,1,4,3,1,1
elisa643,Elisa Pareja,neutral,4,3,3,3,4,2,2,3,4,3,1,1,4,1,3,1,2,1,2,1,4,1,2,2,2,2,4,2,3
gonza551,Martha Gonzalez,neutral,4,5,3,1,4,3,5,5,2,3,1,3,1,3,4,4,3,1,2,1,2,1,1,3,3,4,4,1,3
marisou222,Maria souto,neutral,5,5,4,2,4,3,1,2,1,2,1,4,4,4,3,4,2,2,4,2,4,1,1,3,4,5,2,3,4
borja999,Francisco Borja,neutral,1,2,2,3,3,2,1,2,1,2,3,2,2,3,4,3,3,1,3,3,2,3,4,1,3,5,3,2,1
lucho767,Luis Rodriguez,neutral,2,1,2,3,4,5,3,4,4,2,2,1,3,4,5,1,4,3,2,3,3,5,4,3,1,3,2,1,1
acedo455,Luis Acedo,neutral,3,4,4,1,1,5,4,3,5,3,5,4,2,3,2,3,1,1,2,4,4,3,5,1,2,2,2,3,3
feralba654,Fermin Alba,neutral,1,2,2,1,2,4,5,4,4,1,1,1,1,2,1,4,3,3,1,1,4,3,5,1,1,4,1,1,3
pedrosa986,sebastian Pedrosa,neutral,1,2,2,2,1,2,5,4,4,4,5,3,4,4,2,4,4,4,1,1,2,2,2,2,3,3,2,2,3
clara876,Clara Suarez,neutral,2,3,3,3,2,3,3,3,3,3,3,2,2,4,2,1,3,2,3,3,2,2,4,3,4,4,3,2,2
romo465,Mireya Romo,neutral,3,3,4,4,2,4,2,3,3,3,2,2,3,3,3,2,4,2,4,4,3,1,4,4,4,3,4,1,3
ionc765,Ion Carvajal,neutral,2,3,3,3,3,3,3,2,2,4,2,2,3,1,2,3,4,2,3,3,4,1,3,3,4,3,3,1,3
tomG890,Tomas Gonzales,neutral,3,2,3,4,2,4,4,2,2,3,3,2,3,2,2,2,4,1,4,3,4,1,4,5,4,3,4,1,4
brianC878,Brian Carballo,neutral,3,3,2,3,1,3,4,1,1,2,4,1,2,3,2,2,4,2,3,2,4,2,3,4,4,3,3,1,3
tude345,Angel Tudela,neutral,3,4,3,3,1,4,2,2,2,3,3,2,4,2,1,3,4,3,4,3,4,2,4,3,4,3,4,1,3
braisV764,Brais Villalba,neutral,4,3,4,3,3,4,3,3,3,2,2,1,2,3,1,2,5,2,4,2,4,1,3,2,4,3,3,1,2
kevinOr001,Kevin Ordonez,neutral,2,3,4,3,2,3,4,2,3,2,4,3,2,3,3,3,3,2,4,3,5,1,4,5,4,2,4,2,4
